REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY, WEBSITE ADDRESS, FAX/TELEPHONE NO.
03 - Central Luzon,Asian Institute of Science and Technology-Baliuag,Private,Bulacan,City of Baliwag,,(044) 816-4895,
03 - Central Luzon,NU Clark,Private,Pampanga,Mabalacat City,https://national-u.edu.ph/nu-clark/,,
03 - Central Luzon,Aurora State College of Technology,SUC,Aurora,Baler,ascot.edu.ph,(042) 714 5661,
03 - Central Luzon,Aurora State College of Technology-Bazal,SUC,Aurora,Maria Aurora,ascot.edu.ph,09193693389; (042) 209-4354 (Baler); (02) 373-5318; (02),
03 - Central Luzon,Aurora State College of Techonolgy-Casiguran,SUC,Aurora,Casiguran,ascot.edu.ph,09193693389; (042) 209-4354 (Baler); (02) 373-5318; (02),
03 - Central Luzon,Mount Carmel College-Baler,Private,Aurora,Baler,,,
03 - Central Luzon,Wesleyan University-Philippines-Aurora,Private,Aurora,Maria Aurora,http://www.wesleyan.edu.ph,,
03 - Central Luzon,Philippine Merchant Marine Academy,SUC,Zambales,San Narciso,pmma.edu.ph,047-913-4396,
03 - Central Luzon,Polytechnic University of The Philippines-Pulilan,SUC,Bulacan,Pulilan,http://www.pup.edu.ph,(044) 641 3315,
03 - Central Luzon,Polytechnic University of the Philippines-Sta. Maria Bulacan,SUC,Bulacan,Santa Maria,http://www.pup.edu.ph,(044) 328-0343,
03 - Central Luzon,Polytechnic University of the Philippines-Cabiao,SUC,Nueva Ecija,Cabiao,http://www.pup.edu.ph,(044) 486-5492,
03 - Central Luzon,University of the Philippines-Diliman (Pampanga),SUC,Pampanga,Mabalacat City,,,
03 - Central Luzon,University of the Philippines-Diliman (Olongapo City),SUC,Zambales,Olongapo City,,,
03 - Central Luzon,STI College - San Jose del Monte,Private,Bulacan,City of San Jose Del Monte,http://www.sti.edu.ph,(044) 794-36-57 / (044) 761-60-17,
03 - Central Luzon,Bulacan State University-San Rafael Campus,SUC,Bulacan,San Rafael,http://www.bulsu.edu.ph,(044) 791 0153,
03 - Central Luzon,Rosebelle Colleges,Private,Tarlac,Victoria,,(045) 491 7045,
03 - Central Luzon,Divine Grace Colleges of Pampanga,Private,Pampanga,Mabalacat City,,6.31E+12,
03 - Central Luzon,DPR Aviation College,Private,Bulacan,Plaridel,http://www.dpr-pats.edu.ph/,6.39E+11,
03 - Central Luzon,Dingalan Community College,LUC,Aurora,Dingalan,https://dingalan.gov.ph (FB Page: Dingalan Community College),,
03 - Central Luzon,Colegio De San Leonardo,LUC,Nueva Ecija,San Leonardo,,,
03 - Central Luzon,Santiago"Santy" R. Austria College,LUC,Nueva Ecija,Jaen,,9670000000,
03 - Central Luzon,Colegio de Masinloc,LUC,Zambales,Masinloc,,,
03 - Central Luzon,Holy Trinity College of Technology,Private,Tarlac,Paniqui,,045-456-1720,
03 - Central Luzon,Martinet School of Business Education and Technology,Private,Tarlac,City of Tarlac,,045-985-0532,
04 - CALABARZON,ACTS Computer College,Private,Laguna,Santa Cruz,http://www.actscc.edu.ph,(049) 501-1484,
04 - CALABARZON,Batangas State University-Nasugbu,SUC,Batangas,Nasugbu,http://batstate-u.edu.ph,(043) 416-0350,
04 - CALABARZON,Asia-Pacific Nazarene Theological Seminary,Private,Rizal,Taytay,http://www.apnts.edu.ph,(02) 658-5872 loc. 1108,
04 - CALABARZON,Balian Community College,LUC,Laguna,Pangil,calauagcentralcollege.edu.ph,(049) 557-1457,
04 - CALABARZON,Calauag Central College,Private,Quezon,Calauag,http://www.canossacollegespc.com.ph,(042) 717-7149,
04 - CALABARZON,Canossa College - San Pablo City,Private,Laguna,City of San Pablo,http://www.canossacollege.edu.ph,(049) 562-3891; (049) 561-2335,
04 - CALABARZON,Cavite State University-Rosario Campus,SUC,Cavite,Rosario,http://www.cvsu.edu.ph,(046) 437-9505,
04 - CALABARZON,Cavite State University-Naic Campus,SUC,Cavite,Naic,http://www.cvsu.edu.ph,(046) 856-0401,
04 - CALABARZON,Colegio de Los Baños,Private,Laguna,Los BaÃ±os,http://www.deaffoundationinc.com,(049) 536-1977,
04 - CALABARZON,Colegio De San Juan De Letran-Calamba,Private,Laguna,City of Calamba,http://www.letran-calamba.edu.ph,(049) 545-5453,
04 - CALABARZON,De La Salle Lipa,Private,Batangas,City of Lipa,http://www.dlsl.edu.ph,(043) 756-3117; (043) 756-5555 loc. 225; (043) 302-2914,
04 - CALABARZON,Deaf Evangelistic Alliance Foundation,Private,Laguna,Cavinti,http://www.deaffoundationinc.com,(02) 361-9401,
04 - CALABARZON,Divine Word Seminary,Private,Cavite,City of Tagaytay,http://www.divinewordseminary.blogspot.com,(046) 413-2670,
04 - CALABARZON,De La Salle University-Dasmariñas,Private,Cavite,City of Dasmariñas,http://www.dlsud.edu.ph,(046) 481-1900,
04 - CALABARZON,De La Salle Health Sciences Institute,Private,Cavite,City of Dasmariñas,http://www.dlshsi.edu.ph,(046) 481-8000,
04 - CALABARZON,Don Bosco College,Private,Laguna,City of Calamba,http://www.donboscocanlubang.edu.ph,(049) 549-1778,
04 - CALABARZON,Cavite State University-Main,SUC,Cavite,Indang,http://www.cvsu.edu.ph,(046) 415-0010,
04 - CALABARZON,Paete Science and Business College,Private,Laguna,Paete,http://www.iccbalayan.edu.ph,(049) 557-0184,
04 - CALABARZON,Eastern Quezon College,Private,Quezon,Gumaca,eqcgumaca.edu.ph,(042) 317-5639,
04 - CALABARZON,Golden Gate Colleges,Private,Batangas,Batangas City,http://www.goldengatecolleges.edu.ph,(043) 723-2077,
04 - CALABARZON,Harris Memorial College,Private,Rizal,Taytay,http://www.harris.edu.ph,(02) 542-0174; (02) 658-2797,
04 - CALABARZON,Immaculate Conception College of Balayan,Private,Batangas,Balayan,http://www.iccbalayan.edu.ph,(043) 727-6760,
04 - CALABARZON,Imus Institute of Science and Technology,Private,Cavite,City of Imus,http://www.imusinstitute.net,(046) 471-2624,
04 - CALABARZON,ICCT Colleges-Cainta,Private,Rizal,Cainta,http://www.icct.edu.ph,(02) 682-5914; (02) 249-1049; (02) 249-1050,
04 - CALABARZON,Dr. Francisco L. Calingasan Memorial Colleges Foundation,Private,Batangas,Nasugbu,,(043) 740-9631,
04 - CALABARZON,Laguna College,Private,Laguna,City of San Pablo,http://www.lagunacollege.edu.ph,(049) 562-8077,
04 - CALABARZON,Laguna State Polytechnic University-Sta. Cruz,SUC,Laguna,Santa Cruz,http://www.lspu.edu,(049) 554-9910,
04 - CALABARZON,Laguna College of Business and Arts,Private,Laguna,City of Calamba,http://www.lcba.edu.ph,(049) 545-0929,
04 - CALABARZON,Laguna Northwestern College,Private,Laguna,City of San Pedro,http://www.lagunanorthwesterncollege.edu.ph,(02) 869-0738,
04 - CALABARZON,Laguna State Polytechnic University-Main,SUC,Laguna,Siniloan,http://www.lspu.edu.ph,(049) 554-9910,
04 - CALABARZON,Leon Guinto Memorial College,Private,Quezon,Atimonan,,(042) 316-5471,
04 - CALABARZON,Lipa City Colleges,Private,Batangas,City of Lipa,http://www.lipacitycolleges.net,(043) 756-3768; (043) 756-2405; (043) 756-1943,
04 - CALABARZON,Laguna State Polytechnic University-Los Baños,SUC,Laguna,Los BaÃ±os,http://www.lspu.edu.ph,(049) 554-9910 loc. 3001,
04 - CALABARZON,Lyceum of the Philippines University-Batangas,Private,Batangas,Batangas City,lpubatangas.edu.ph,(043) 723-2038,
04 - CALABARZON,Manuel S. Enverga University Foundation-Lucena,Private,Quezon,City of Lucena,http://www.mseuf.edu.ph,(042) 373-1664,
04 - CALABARZON,Marcelino Fule Memorial College,Private,Laguna,Alaminos,mfmc1946.weebly.com,(049) 252-6960; (049) 562-2466,
04 - CALABARZON,Calayan Educational Foundation,Private,Quezon,City of Lucena,http://www.cefi.edu.ph,(042) 710-2514,
04 - CALABARZON,Manuel S. Enverga University Foundation-Candelaria,Private,Quezon,Candelaria,http://www.aup.edu.ph,(042) 373-0388,
04 - CALABARZON,Manuel S. Enverga University Foundation-Catanauan,Private,Quezon,Catanauan,http://www.ptscas.edu.ph,(042) 315-8203,
04 - CALABARZON,National College of Business and Arts-Taytay,Private,Rizal,Taytay,http://www.ncba.edu.ph,(02) 658-6992; (02) 660-7895; (02) 660-8815; (02) 660-7894; (02) 913-8787 loc. 132,
04 - CALABARZON,Northern Quezon College,Private,Quezon,Infanta,http://www.nqci.net,(042) 535-2871; (042) 535-4022; (042)535-4160,
04 - CALABARZON,Our Lady of Lourdes Seminary,Private,Batangas,City of Lipa,http://www.filipinocapuchins.org,(043) 756-1786,
04 - CALABARZON,Batangas State University-Main,SUC,Batangas,Batangas City,http://batstate-u.edu.ph,(043) 980-0385,
04 - CALABARZON,Batangas State University-Balayan,SUC,Batangas,Balayan,http://batstate-u.edu.ph,(043) 425-0139,
04 - CALABARZON,Batangas State University-Lipa City,SUC,Batangas,City of Lipa,http://batstate-u.edu.ph,(043) 774-2526,
04 - CALABARZON,Batangas State University-Lobo,SUC,Batangas,Lobo,http://batstate-u.edu.ph,(043) 980-0385 loc. 1142,
04 - CALABARZON,Batangas State University-Rosario,SUC,Batangas,Rosario,http://batstate-u.edu.ph,(043) 980-0385 loc. 1142,
04 - CALABARZON,Batangas State University-San Juan,SUC,Batangas,San Juan,http://batstate-u.edu.ph,(043) 980-0385 loc. 1142,
04 - CALABARZON,University of Perpetual Help System-Laguna,Private,Laguna,City of Biñan,http://www.uphsl.edu.ph,(049) 544-5150,
04 - CALABARZON,University of Perpetual Help System-Dr. Jose G. Tamayo Medical University,Private,Laguna,City of Biñan,http://www.uphsl.edu.ph,(049) 554-5150 loc. 3038; (02) 779-5310 loc. 3038,
04 - CALABARZON,Adventist University of the Philippines,Private,Cavite,Silang,http://www.aup.edu.ph,(049) 541-1211,
04 - CALABARZON,Philippine Normal University-Lopez,SUC,Quezon,Lopez,http://www.pnu.edu.ph,(042) 717-4008,
04 - CALABARZON,PTS College and Advanced Studies,Private,Cavite,City of Dasmariñas,http://www.ptscollege.org,(046) 236-9239,
04 - CALABARZON,Philippine State College of Aeronautics-Fernando Air Base,SUC,Batangas,City of Lipa,,(043) 233-0756,
04 - CALABARZON,Polytechnic University of the Philippines-Lopez,SUC,Quezon,Lopez,http://www.pup.edu.ph,(042) 326-1256,
04 - CALABARZON,Polytechnic University of the Philippines-Maragondon,SUC,Cavite,Maragondon,http://www.pup.edu.ph,(046) 412-1931; (046) 412-1909,
04 - CALABARZON,Polytechnic University of the Philippines-Unisan,SUC,Quezon,Unisan,http://www.pup.edu.ph,(042) 549-8364; (042) 549-8400,
04 - CALABARZON,Quezonian Educational College,Private,Quezon,Atimonan,http://www.sct.edu.ph,(042) 316-4129,
04 - CALABARZON,Rizal College of Taal,Private,Batangas,Taal,http://www.rctaal.edu.ph,(043) 421-1160; (043) 740-2238,
04 - CALABARZON,University of Rizal System-Tanay,SUC,Rizal,Tanay,http://www.urs.edu.ph,(02) 401-4910,
04 - CALABARZON,Rizal College of Laguna,Private,Laguna,City of Calamba,http://www.rcl-calamba.edu.ph,(049) 502-0244; (049) 545-1180,
04 - CALABARZON,University of Rizal System-Morong,SUC,Rizal,Morong,http://www.urs.edu.ph,(02) 653-1735,
04 - CALABARZON,FEU Roosevelt,Private,Rizal,Cainta,http://www.rooseveltcollege.edu.ph,(02) 8681-6210; (02) 8646-5885; (02) 8681-6206; (02) 8681-6218,
04 - CALABARZON,Sacred Heart College,Private,Quezon,City of Lucena,http://www.shc.edu.ph,(042) 710-3888,
04 - CALABARZON,St. Anne College Lucena,Private,Quezon,City of Lucena,http://www.wci.edu.ph,(042) 710-5624,
04 - CALABARZON,St. Bridget College,Private,Batangas,Batangas City,http://www.sbcbatangas.edu.ph,(043) 723-3616,
04 - CALABARZON,St. Francis de Sales Major Seminary,Private,Batangas,City of Lipa,http://www.sti.edu,(043) 756-1547,
04 - CALABARZON,St. Joseph College of Cavite,Private,Cavite,City of Cavite,http://www.sjc-cavite.educ.ph,(043) 432-9052,
04 - CALABARZON,St. Louis Anne Colleges of San Pedro,Private,Laguna,City of San Pedro,http://www.sti.edu,(02) 8847-7376,
04 - CALABARZON,Saint Michael's College of Laguna,Private,Laguna,City of Biñan,http://www.smcl.edu.ph,(02) 405-5040,
04 - CALABARZON,Saint Paul Seminary,Private,Cavite,Silang,http://www.ssp.ph,(046) 414-2281,
04 - CALABARZON,St. Peter's College Seminary,Private,Laguna,City of San Pablo,,(049) 562-0499,
04 - CALABARZON,San Antonio de Padua College,Private,Laguna,Pila,http://www.sapc.edu.ph,(049) 566-7258,
04 - CALABARZON,San Ildefonso College,Private,Rizal,Tanay,stcbauan.edu.ph,(02) 654-1399,
04 - CALABARZON,Laguna State Polytechnic University-San Pablo City,SUC,Laguna,City of San Pablo,http://www.lspu.edu.ph,(049) 554-9910 loc. 3001,
04 - CALABARZON,San Pablo Colleges,Private,Laguna,City of San Pablo,http://www.sanpablocolleges.edu.ph,(049) 562-4688; (049) 562-2391,
04 - CALABARZON,San Pedro College of Business Administration,Private,Laguna,City of San Pedro,http://www.SPCBA.EDU.PH,(02) 869-1573,
04 - CALABARZON,San Sebastian College-Recoletos de Cavite,Private,Cavite,City of Cavite,http://www.sscr.edu,(046) 431-9405 loc. 764,
04 - CALABARZON,Siena College of Taytay,Private,Rizal,Taytay,http://www.sct.edu.ph,(02) 660-4761,
04 - CALABARZON,Southeast Asia Interdisciplinary Development Institute,Private,Rizal,City of Antipolo,http://www.saidi.edu.ph,(02) 236-4972,
04 - CALABARZON,Southern Luzon State University,SUC,Quezon,Lucban,http://www.slsu.edu.ph,(042) 540-4763,
04 - CALABARZON,Tanauan Institute,Private,Batangas,City of Tanauan,http://www.cdsp.edu.ph/,(043) 778-1742,
04 - CALABARZON,Tayabas Western Academy,Private,Quezon,Candelaria,lccbinan.edu.ph,(042) 585-7877,
04 - CALABARZON,Tomas Claudio Colleges,Private,Rizal,Morong,http://www.tcmc.edu.ph,(02) 234-5566; (02) 234-5431; (02) 653-1111; (02) 234-5503,
04 - CALABARZON,Technological University of the Philippines-Cavite,SUC,Cavite,City of Dasmariñas,http://www.tup.edu.ph,(046) 416-4920,
04 - CALABARZON,Unciano Colleges,Private,Rizal,City of Antipolo,http://www.uncianocollegesandhospital.com,(02) 8697-0174,
04 - CALABARZON,Union College of Laguna,Private,Laguna,Santa Cruz,http://www.unioncollege.edu.ph.com,(049) 808-1083; (049) 501-0251; (049) 304-2103,
04 - CALABARZON,University of the Philippines-Los Baños,SUC,Laguna,Los BaÃ±os,http://www.uplb.edu.ph,(049) 536-2553,
04 - CALABARZON,Western Colleges,Private,Cavite,Naic,http://www.gma.uphsl.edu.ph,(046) 507-0500,
04 - CALABARZON,University of Batangas,Private,Batangas,Batangas City,http://www.ub.edu.ph,(043) 723-4500,
04 - CALABARZON,University of the Philippines-Open University,SUC,Laguna,Los BaÃ±os,http://www.upou.edu.ph,(049) 536-6001,
04 - CALABARZON,STI College-Lucena,Private,Quezon,City of Lucena,http://www.sti.edu.ph,(042) 717-3150,
04 - CALABARZON,University of Perpetual Help System Dalta-Molino,Private,Cavite,City of Bacoor,http://www.perpetualdalta.edu.ph,(046) 477-0602,
04 - CALABARZON,STI College-San Pablo,Private,Laguna,City of San Pablo,http://www.sti.edu,(049) 521-0814,
04 - CALABARZON,STI College Calamba,Private,Laguna,City of Calamba,http://www.sti.edu,(049) 502-8225,
04 - CALABARZON,Dominican College of Sta. Rosa,Private,Laguna,City of Santa Rosa,http://www.igcfi.edu.ph,(049) 534-4589,
04 - CALABARZON,Kolehiyo ng Lungsod ng Lipa,LUC,Batangas,City of Lipa,http://www.kll.com.ph,(043) 706-6790; (043) 706-6791; (043) 706-6792; (043) 706-6794; (043) 706-6789,
04 - CALABARZON,Saints John and Paul Educational Foundation,Private,Laguna,City of Calamba,https://freewebSaintsjohn&paulcolleges,(049) 304-4046,
04 - CALABARZON,Sta. Teresa College,Private,Batangas,Bauan,http://www.stc-bauan.edu.ph,(043) 727-1174,
04 - CALABARZON,STI College-Bacoor,Private,Cavite,City of Bacoor,http://www.sti.edu.ph,(046) 417-0180,
04 - CALABARZON,STI College-Batangas,Private,Batangas,Batangas City,http://www.sti.edu.ph,(043) 702-4395,
04 - CALABARZON,STI College-Sta. Cruz,Private,Laguna,Santa Cruz,http://www.sti.edu,(049) 501-3446,
04 - CALABARZON,STI College-Lipa,Private,Batangas,City of Lipa,http://www.sti.edu.net,(043) 756-2407,
04 - CALABARZON,Trace College,Private,Laguna,Los BaÃ±os,http://www.tracecollege.edu.ph,(049) 536-3944,
04 - CALABARZON,Batangas State University-Malvar,SUC,Batangas,Malvar,http://batstate-u.edu.ph,(043) 778-2170,
04 - CALABARZON,STI College Carmona,Private,Cavite,City of Carmona,southwoods.sti.edu.ph,(046) 430-1661,
04 - CALABARZON,AMA Computer College-Biñan,Private,Laguna,City of Biñan,http://www.amaes.edu.ph,(02) 475-2292,
04 - CALABARZON,Colegio De San Pedro,Private,Laguna,City of San Pedro,http://www.amaes.edu.ph,(02) 7-116-4804,
04 - CALABARZON,La Consolacion College-Biñan,Private,Laguna,City of Biñan,http://www.ncst.edu.ph,(049) 512-7120,
04 - CALABARZON,Laguna Science and Technology College,Private,Laguna,City of San Pedro,http://www. rog.edu.ph,(02) 869-2869; (049) 869-2869,
04 - CALABARZON,Mt. St. Aloysius Seminary,Private,Quezon,Gumaca,,(042) 317-6653,
04 - CALABARZON,Cainta Catholic College,Private,Rizal,Cainta,http://www.caintacatholiccollege.com,(02) 643-2000,
04 - CALABARZON,STI College Ortigas-Cainta,Private,Rizal,Cainta,http://www.sti.edu,8-8121784 loc. 872; 8-8121784 loc. 873; (02) 8230-0100; (02) 8812-1784 loc. 201,
04 - CALABARZON,Maryhill College,Private,Quezon,City of Lucena,maryhillcollege.edu.ph,(042) 373-0165,
04 - CALABARZON,Polytechnic University of the Philippines-Sto. Tomas,SUC,Batangas,City of Sto. Tomas,http://www.pup.edu.ph,(043) 778-3586,
04 - CALABARZON,Polytechnic University of the Philippines-Mulanay,SUC,Quezon,Mulanay,http://www.pup.edu.ph,(042) 319-7300,
04 - CALABARZON,University of Perpetual Help System-GMA,Private,Cavite,Gen. Mariano Alvarez,http:uphsl.educ.ph,(046) 460-4086,
04 - CALABARZON,Philippine Missionary Institute,Private,Cavite,Silang,,(046) 443-5307; (046) 414-0494,
04 - CALABARZON,Lemery Colleges,Private,Batangas,Lemery,http://www.amaes.edu.ph,(043) 740-9403,
04 - CALABARZON,AMA Computer College-Sta.Cruz,Private,Laguna,Santa Cruz,http://www.firstasia.edu.ph,(049) 501-2975; (049) 501-2977,
04 - CALABARZON,Colegio San Agustin-Biñan,Private,Laguna,City of Biñan,csa-bñan.edu.ph,(02) 478-0175,
04 - CALABARZON,AMA Computer College-East Rizal,Private,Rizal,City of Antipolo,http://www.amaes.edu.ph,(02) 681-6244,
04 - CALABARZON,Oblates of Saint Joseph College of Philosophy,Private,Batangas,City of Lipa,http://www.stjude.edu.ph,(043) 757-2013,
04 - CALABARZON,Inter-Global College Foundation,Private,Quezon,City of Lucena,http://www.interglobalcollege.edu.ph,(042) 373-2535,
04 - CALABARZON,University of Perpetual Help System Dalta-Calamba,Private,Laguna,City of Calamba,http://www.perpetualdalta.edu.ph,(049) 531-4775,
04 - CALABARZON,Dalubhasaan ng Lungsod ng San Pablo,LUC,Laguna,City of San Pablo,http://www.bbsi.edu.ph,(049) 503-1298,
04 - CALABARZON,St. Alphonsus School of Theology,Private,Quezon,City of Lucena,http://www.baptistvoicecollege.com,(042) 710-3127,
04 - CALABARZON,IETI College of Science and Technology,Private,Laguna,City of San Pedro,http://www.ieti.edu.ph,(049) 808-0830; (049) 356-3817,
04 - CALABARZON,Philippine National Police Academy,OGS,Cavite,Silang,http://www.PNPA.EDU.PH,(049) 545-5940; (049) 545-5939,
04 - CALABARZON,Adventist International Institute of Advanced Studies,Private,Cavite,Silang,http://www.aiias.edu,(046) 414-4300,
04 - CALABARZON,Binangonan Catholic College,Private,Rizal,Binangonan,http://www.bcc.edu.ph,(02) 652-0098,
04 - CALABARZON,AMA College-Cavite,Private,Cavite,City of General Trias,http://www.ama.edu.ph,(046) 402-1398,
04 - CALABARZON,AMA Computer College-Batangas City,Private,Batangas,Batangas City,http://www.ama.edu.ph,(043) 300-3084 (043) 980-5578,
04 - CALABARZON,Southern Luzon State University-Tagkawayan,SUC,Quezon,Tagkawayan,http://www.slsu.edu.ph,(042) 717-6639,
04 - CALABARZON,Emilio Aguinaldo College,Private,Cavite,City of Dasmariñas,http://www.eac.edu.ph/cavite,(046) 416-4339,
04 - CALABARZON,Alitagtag College,Private,Batangas,Alitagtag,sti.santarosa.edu.ph,(043) 772-0552,
04 - CALABARZON,AMA Computer College-Lipa City,Private,Batangas,City of Lipa,http://www.amaes.du.ph,(043) 781-2394; (043) 981 3034; (043) 781 1487,
04 - CALABARZON,National College of Science and Technology (NCST),Private,Cavite,City of Dasmariñas,http://www.ncst.edu.ph,(046) 416-6278,
04 - CALABARZON,University of Rizal System-Angono,SUC,Rizal,Angono,http://www.urs.edu.ph,(02) 651-0346,
04 - CALABARZON,University of Rizal System-Pililia,SUC,Rizal,Pililla,http://www.urs.edu.ph,(02) 654-4464,
04 - CALABARZON,University of Rizal System-Rodriguez,SUC,Rizal,Rodriguez,http://www.urs.edu.ph,(02) 997-9765,
04 - CALABARZON,Rogationist College,Private,Cavite,Silang,http://www.rog.edu.ph,(046) 414-0448,
04 - CALABARZON,Southern Luzon State University-Infanta,SUC,Quezon,Infanta,http://www.slsu.edu.ph,(042 ) 535-4355,
04 - CALABARZON,St. John Colleges,Private,Laguna,City of Calamba,http://www.pnc.edu.ph,(049) 545-1948,
04 - CALABARZON,Southern Luzon State University-Alabat,SUC,Quezon,Alabat,http://www.slsu.edu.ph,(042) 540-4087; (042) 540-6635,
04 - CALABARZON,Southern Luzon State University-Lucena,SUC,Quezon,City of Lucena,http://www.slsu.edu.ph,(042) 713-2371,
04 - CALABARZON,Southern Luzon State University-Polilio,SUC,Quezon,Polillo,http://www.slsu.edu.ph,(042) 540-4087; (042) 540-6635,
04 - CALABARZON,AMA Computer College-Calamba,Private,Laguna,City of Calamba,http://www.amaes.edu.ph,(049) 545-5415,
04 - CALABARZON,AMA Computer College-Lucena,Private,Quezon,City of Lucena,http://www.sti.edu,(042) 373-7130; (042) 373-7132; (02) 8656-0654; (02) 8844-3225; (02) 8656-0652,
04 - CALABARZON,Cavite West Point College,Private,Cavite,Ternate,http://www.cavitewestpointcollege.com.ph,(046) 412-1865,
04 - CALABARZON,Our Lady of Assumption College of Laguna,Private,Laguna,City of San Pedro,http://ourladyofassumptioncollege.com,(02) 808-2902; (02) 869-3864,
04 - CALABARZON,Southern Philippines Institute of Science and Technology,Private,Cavite,City of Imus,gardner.edu.ph,(046) 471-2930,
04 - CALABARZON,St. Matthew College,Private,Rizal,San Mateo,http://www.stmatthewcollege.com,(02) 997-3468; (02) 997-5949; (02) 997-5948; (02) 997-6103,
04 - CALABARZON,World Citi Colleges-Antipolo City,Private,Rizal,City of Antipolo,http://www.worldciticolleges.edu.ph,(02) 706-9560; (02) 913-8380 loc 241,
04 - CALABARZON,University of Rizal System-Binangonan,SUC,Rizal,Binangonan,http://www.urs.edu.ph,(02) 652-3481,
04 - CALABARZON,ABE International Business College-Cainta,Private,Rizal,Cainta,http://www.amaes.edu.ph,(02) 681-0990; (02) 682-4143,
04 - CALABARZON,First Asia Institute of Technology and Humanities,Private,Batangas,City of Tanauan,http://www.firstasia.edu.ph,(043) 778-0656,
04 - CALABARZON,Holy Child Jesus College,Private,Quezon,Gumaca,allnationscollege.website.com,(042) 317-4753,
04 - CALABARZON,Lyceum of the Philippines-Laguna,Private,Laguna,City of Calamba,http://www.lpulaguna.edu.ph,(049) 502-0972,
04 - CALABARZON,St. Jude College Dasmarifias Cavite,Private,Cavite,City of Dasmariñas,http://www.stjude.edu.ph,(046) 417-5232,
04 - CALABARZON,Saint Francis Institute of Computer Studies,Private,Laguna,City of San Pedro,,(02) 868-9639; (02) 868-3197,
04 - CALABARZON,Cavite State University-Cavite City Campus,SUC,Cavite,City of Cavite,http://www.cvsu.edu.ph,(046) 431-3570,
04 - CALABARZON,LPU-St. Cabrini School of Health Sciences,Private,Laguna,City of Calamba,http://www.lpulaguna.edu.ph,(049) 502-2048,
04 - CALABARZON,Baptist Bible Seminary and Institute,Private,Rizal,Taytay,http://ourladyofassumptioncollege.com,(02) 658-8455; (02) 658-4455,
04 - CALABARZON,Baptist Voice Bible College,Private,Quezon,City of Lucena,http://www.baptistvoicecollege.com,(042) 784-4032,
04 - CALABARZON,Calamba Doctors' College,Private,Laguna,City of Calamba,http://www.calambadoctorscollege.com,(049) 545-9921,
04 - CALABARZON,LNC Corinthian Center,Private,Laguna,City of Santa Rosa,http://www.lagunanorthwesterncollege.edu.ph,(02) 668-2756; (02) 869-0738,
04 - CALABARZON,STI College-Rosario,Private,Cavite,Rosario,http://www.sti.edu.ph,(046) 971-1672,
04 - CALABARZON,Unida Christian Colleges,Private,Cavite,City of Imus,http://www.unida-ucc.edu.ph,(046) 472-3755; (046) 472-2591,
04 - CALABARZON,Dalubhasaan ng Lungsod ng Lucena,LUC,Quezon,City of Lucena,https://lu.edu.ph/,(042) 797-1671,
04 - CALABARZON,Mabini College of Batangas,Private,Batangas,Mabini,http://www.mabinicollege.com,(043) 487-0117,
04 - CALABARZON,STI College-Balayan,Private,Batangas,Balayan,http://www.balayan.sti.edu,(043) 741-1428,
04 - CALABARZON,STI College Santa Rosa,Private,Laguna,City of Santa Rosa,http://www.santarosa.sti.edu.ph,(049) 534-2719; (02) 668-4784; (049) 837-2595 loc. 815,
04 - CALABARZON,University of Rizal System-Cainta,SUC,Rizal,Cainta,http://www.urs.edu.ph,(02) 359-8776,
04 - CALABARZON,University of Rizal System-Cardona,SUC,Rizal,Cardona,http://www.urs.edu.ph,(02) 359-8694,
04 - CALABARZON,University of Rizal System-Antipolo,SUC,Rizal,City of Antipolo,http://www.urs.edu.ph,(02) 697-5773,
04 - CALABARZON,La Consolacion College-Tanauan,Private,Batangas,City of Tanauan,http://www.lcctanauan.edu.ph,(043) 778-1020,
04 - CALABARZON,DMMC Institute of Health Sciences,Private,Batangas,City of Tanauan,http://www.dmmcihs.edu.ph,(043) 778-6352; (043) 778-6893,
04 - CALABARZON,Saint Francis of Assisi College-Cavite,Private,Cavite,City of Bacoor,http://www.stfrancis.edu.ph,(046) 502-6289,
04 - CALABARZON,Olivarez College-Tagaytay,Private,Cavite,City of Tagaytay,http://www.olivarezcollegetagaytya.edu.ph,(046) 860-2301 loc. 120/103,
04 - CALABARZON,St. Dominic College of Asia,Private,Cavite,City of Bacoor,http://www.stdominiccollege.edu.ph,(046) 417-7322,
04 - CALABARZON,Power School of Technology,Private,Cavite,Tanza,,(046) 530-7797,
04 - CALABARZON,PWU CDCEC Calamba,Private,Laguna,City of Calamba,https://www.pwu.edu.ph/cdcec/calamba/,(02) 420-8209,
04 - CALABARZON,Pamantasan ng Cabuyao,LUC,Laguna,City of Cabuyao,tanay.sti.edu,(049) 502-5883,
04 - CALABARZON,Our Lady of the Most Holy Rosary Seminary,Private,Quezon,Lucban,https://cavite.lpu.edu.ph/,(042) 716-0964; (042) 710-4728,
04 - CALABARZON,Batangas Eastern Colleges,Private,Batangas,San Juan,http://www.bec.edu.ph,(043) 575-3616,
04 - CALABARZON,Batangas State University-Lemery,SUC,Batangas,Lemery,http://batstate-u.edu.ph,(043) 980-0385,
04 - CALABARZON,Cavite State University-Carmona Campus,SUC,Cavite,City of Carmona,http://www.cvsu.edu.ph,(046) 430-3509 (043) 727 7829,
